Solution;Hotel;HotelRating;HotelPrice;TotalAttractions;TotalQuality;TotalTime;TotalCost;Day1Attractions;Day1Neighborhoods;Day1Time;Day1Cost;Day2Attractions;Day2Neighborhoods;Day2Time;Day2Cost;Day1Sequence;Day1TransportModes;Day2Sequence;Day2TransportModes
1;Alternative Hostel of Old Montreal;4.5;35.75;14;71.5;1379.0;65.75;7;4;696.8;30.00;7;5;682.2;0.00;Place d'Armes|Kondiaronk Belvedere|Notre-Dame Basilica|L'original Art Gallery|Musée Marguerite-Bourgeoys|Arsenal Art Contemporain Montréal - Montreal|Aldred Building - Montreal;Walking|Walking|Walking|Walking|Walking|Walking|Walking|Walking;City Hall|St. Patrick's Basilica|Cathédrale Christ Church Cathedral|Leonard Cohen Mural|Bibliotheque et Archives Nationales du Quebec|Crystal Dreams St Denis - Montreal|Maisonneuve Monument - Montreal;Walking|Walking|Walking|Walking|Walking|Walking|Walking|Walking
2;Auberge L'Apero;4.0;25.25;13;66.0;1240.7;55.25;6;4;559.5;30.00;7;4;681.2;0.00;Kondiaronk Belvedere|Notre-Dame Basilica|L'original Art Gallery|Maisonneuve Monument - Montreal|Musée Marguerite-Bourgeoys|Arsenal Art Contemporain Montréal - Montreal;Walking|Walking|Walking|Walking|Walking|Walking|Walking;City Hall|St. Patrick's Basilica|Cathédrale Christ Church Cathedral|Leonard Cohen Mural|Bibliotheque et Archives Nationales du Quebec|Crystal Dreams St Denis - Montreal|Place d'Armes;Walking|Walking|Walking|Walking|Walking|Walking|Walking|Walking
3;Alternative Hostel of Old Montreal;4.5;35.75;12;63.1;1381.7;35.75;6;5;684.5;0.00;6;4;697.2;0.00;Place d'Armes|Montreal Street Art|La Guilde - Montreal|Palais des Congres|Maisonneuve Monument - Montreal|Aldred Building - Montreal;Walking|Walking|Walking|Walking|Walking|Walking|Walking;Cathédrale Christ Church Cathedral|St. Patrick's Basilica|Leonard Cohen Mural|Bibliotheque et Archives Nationales du Quebec|Crystal Dreams St Denis - Montreal|Musee Romeo's - Montreal;Walking|Walking|Walking|Walking|Walking|Walking|Walking
4;Auberge L'Apero;4.0;25.25;12;60.7;1233.4;39.25;5;4;552.3;14.00;7;5;681.1;0.00;Kondiaronk Belvedere|Palais des Congres|L'original Art Gallery|Musée Marguerite-Bourgeoys|Arsenal Art Contemporain Montréal - Montreal;Walking|Walking|Walking|Walking|Walking|Walking;City Hall|St. Patrick's Basilica|Cathédrale Christ Church Cathedral|Leonard Cohen Mural|Complexe Desjardins|Crystal Dreams St Denis - Montreal|Place d'Armes;Walking|Walking|Walking|Walking|Walking|Walking|Walking|Walking
5;Alternative Hostel of Old Montreal;4.5;35.75;12;62.7;1272.1;35.75;6;5;658.3;0.00;6;4;613.8;0.00;Place d'Armes|La Guilde - Montreal|L'original Art Gallery|Aldred Building - Montreal|Palais des Congres|Kondiaronk Belvedere;Walking|Walking|Walking|Walking|Walking|Walking|Walking;Pont Jacques-Cartier - Montreal|Maisonneuve Monument - Montreal|St. Patrick's Basilica|Leonard Cohen Mural|Cathédrale Christ Church Cathedral|Crystal Dreams St Denis - Montreal;Walking|Walking|Walking|Walking|Walking|Walking|Walking
6;Alternative Hostel of Old Montreal;4.5;35.75;12;63.3;1197.0;94.11;6;3;592.6;28.36;6;4;604.4;30.00;Aldred Building - Montreal|La Guilde - Montreal|Place d'Armes|Leonard Cohen Mural|Musée Marguerite-Bourgeoys|Phi Centre;Walking|Walking|Walking|Walking|Walking|Walking|Walking;Bibliotheque et Archives Nationales du Quebec|L'original Art Gallery|Maisonneuve Monument - Montreal|Notre-Dame-de-Bon-Secours Chapel|Notre-Dame Basilica|St. Patrick's Basilica;Walking|Walking|Walking|Walking|Walking|Walking|Walking
7;Alternative Hostel of Old Montreal;4.5;35.75;11;58.7;1148.9;35.75;6;5;541.8;0.00;5;4;607.0;0.00;Kondiaronk Belvedere|La Guilde - Montreal|St. Patrick's Basilica|Place d'Armes|Maisonneuve Monument - Montreal|L'original Art Gallery;Walking|Walking|Walking|Walking|Walking|Walking|Walking;Musee Romeo's - Montreal|Leonard Cohen Mural|City Hall|Pont Jacques-Cartier - Montreal|Crystal Dreams St Denis - Montreal;Walking|Walking|Walking|Walking|Walking|Walking
8;Auberge L'Apero;4.0;25.25;11;57.5;1046.2;25.25;5;4;462.1;0.00;6;4;584.1;0.00;Place d'Armes|Aldred Building - Montreal|L'original Art Gallery|Kondiaronk Belvedere|La Guilde - Montreal;Walking|Walking|Walking|Walking|Walking|Walking;City Hall|Cathédrale Christ Church Cathedral|Leonard Cohen Mural|Bibliotheque et Archives Nationales du Quebec|Crystal Dreams St Denis - Montreal|Maisonneuve Monument - Montreal;Walking|Walking|Walking|Walking|Walking|Walking|Walking
9;Alternative Hostel of Old Montreal;4.5;35.75;11;58.7;1119.9;48.63;6;5;541.8;0.00;5;4;578.1;12.88;Kondiaronk Belvedere|La Guilde - Montreal|St. Patrick's Basilica|Place d'Armes|Maisonneuve Monument - Montreal|L'original Art Gallery;Walking|Walking|Walking|Walking|Walking|Walking|Walking;Musee Romeo's - Montreal|Leonard Cohen Mural|City Hall|Pont Jacques-Cartier - Montreal|Crystal Dreams St Denis - Montreal;Walking|Walking|Walking|Walking|Car|Walking
10;Auberge L'Apero;4.0;25.25;11;57.1;1028.6;25.25;6;4;470.2;0.00;5;3;558.5;0.00;Place d'Armes|Kondiaronk Belvedere|Crystal Dreams St Denis - Montreal|Cathédrale Christ Church Cathedral|Leonard Cohen Mural|La Guilde - Montreal;Walking|Walking|Walking|Walking|Walking|Walking|Walking;Maisonneuve Monument - Montreal|City Hall|Arsenal Art Contemporain Montréal - Montreal|Aldred Building - Montreal|L'original Art Gallery;Walking|Walking|Walking|Walking|Walking|Walking
