,Notre-Dame Basilica,Mount Royal Park,Montreal Botanical Garden,Saint Joseph's Oratory of Mount Royal,Biodôme De Montreal,Musée des beaux-arts de Montréal,Pointe-a-Calliere Montreal Archaeology and History Complex,Biosphere,Atwater Market,Notre-Dame-de-Bon-Secours Chapel,Olympic Park (Parc olympique),Montréal Insectarium,Musee Redpath,Place d'Armes,Parc Jean-Drapeau,Montréal Science Centre,Musée du Montréal juif - Museum of Jewish Montreal,Chateau Ramezay Historic Site and Museum of Montreal,Complexe Desjardins,Planétarium De Montréal,St. Patrick's Basilica,McCord Stewart Museum,Habitat 67,L'original Art Gallery,Musée de l'Holocauste Montréal,Leonard Cohen Mural,Musee D'Art Contemporain De Montreal,Palais des Congres,City Hall,Cathédrale Christ Church Cathedral,Maison Saint-Gabriel Museum and Historic Site,Mem – Centre Des Mémoires Montréalaises,Kondiaronk Belvedere,Chateau Dufresne (Dufresne House),Phi Centre,Bibliotheque et Archives Nationales du Quebec,Musée Marguerite-Bourgeoys,Oasis Immersion - Montreal,Pont Jacques-Cartier - Montreal,Maisonneuve Monument - Montreal,Montreal Street Art,La Guilde - Montreal,Arsenal Art Contemporain Montréal - Montreal,Aquazilla - Parc Jean-drapeau - Montreal,Belvedere Camillien-Houde - Montreal,Allez Up - Montreal,Crystal Dreams St Denis - Montreal,Aldred Building - Montreal,"Bota Bota, Spa-sur-l'eau - Montreal",Musee Romeo's - Montreal
Notre-Dame Basilica,N,46.46666666666667,83.56666666666666,75.53333333333333,81.1,30.266666666666666,3.933333333333333,58.78333333333333,41.8,8.966666666666667,74.45,83.28333333333333,27.1,1.35,58.733333333333334,6.066666666666666,43.55,6.3,10.166666666666666,82.28333333333333,10.9,21.9,38.95,1.2833333333333334,91.3,27.05,18.4,6.316666666666666,10.0,17.233333333333334,42.916666666666664,10.716666666666667,43.03333333333333,71.7,5.5,19.566666666666666,8.966666666666667,7.333333333333333,45.81666666666667,2.95,74.96666666666667,28.866666666666667,31.2,69.38333333333334,39.71666666666667,25.75,30.1,1.0666666666666667,11.133333333333333,46.46666666666667
Mount Royal Park,46.28333333333333,N,100.01666666666667,33.2,103.21666666666667,18.2,48.1,86.31666666666666,42.833333333333336,54.15,96.35,100.23333333333333,22.1,45.45,86.26666666666667,52.13333333333333,36.88333333333333,51.45,37.96666666666667,104.4,36.3,26.233333333333334,71.71666666666667,47.55,48.15,21.466666666666665,29.266666666666666,40.35,51.55,30.016666666666666,62.18333333333333,40.266666666666666,6.366666666666666,90.8,45.75,45.93333333333333,54.15,41.45,77.85,43.45,74.75,18.783333333333335,41.31666666666667,102.15,15.683333333333334,42.68333333333333,37.25,46.0,50.25,41.583333333333336
Montreal Botanical Garden,83.51666666666667,99.65,N,118.08333333333333,15.616666666666667,96.53333333333333,85.21666666666667,87.35,126.6,75.93333333333334,16.166666666666668,7.483333333333333,88.78333333333333,89.9,87.3,84.23333333333333,64.48333333333333,77.58333333333333,83.68333333333334,16.433333333333334,88.31666666666666,85.75,109.86666666666666,83.35,118.95,96.03333333333333,91.3,88.01666666666667,80.85,86.66666666666667,124.3,81.06666666666666,96.46666666666667,12.883333333333333,87.25,71.96666666666667,75.95,91.41666666666667,73.55,90.43333333333334,27.416666666666668,95.18333333333334,118.75,109.05,83.1,106.38333333333334,67.18333333333334,82.53333333333333,91.46666666666667,60.75
Saint Joseph's Oratory of Mount Royal,75.43333333333334,33.333333333333336,118.41666666666667,N,129.61666666666667,45.78333333333333,78.28333333333333,115.51666666666667,54.21666666666667,83.3,122.75,124.43333333333334,52.9,74.6,115.46666666666667,81.28333333333333,55.1,80.6,67.51666666666667,128.56666666666666,65.45,56.68333333333333,97.26666666666667,76.7,25.433333333333334,48.916666666666664,58.4,69.9,81.1,59.6,77.48333333333333,69.81666666666666,39.266666666666666,116.91666666666667,75.95,76.53333333333333,83.3,70.86666666666666,107.68333333333334,72.6,94.45,46.6,59.65,127.7,41.0,66.08333333333333,66.45,75.15,80.51666666666667,60.1
Biodôme De Montreal,81.2,103.13333333333334,15.616666666666667,129.38333333333333,N,97.13333333333334,82.9,87.95,127.2,73.61666666666666,7.816666666666666,8.4,89.38333333333334,81.11666666666666,87.9,81.91666666666667,77.18333333333334,75.26666666666667,84.28333333333333,1.85,88.91666666666667,86.35,110.46666666666667,81.03333333333333,136.11666666666667,96.63333333333334,91.9,88.61666666666666,73.83333333333333,87.26666666666667,121.98333333333333,81.66666666666667,99.95,14.583333333333334,84.93333333333334,72.56666666666666,73.63333333333334,92.01666666666667,72.16666666666667,83.43333333333334,39.483333333333334,95.78333333333333,110.03333333333333,109.65,92.65,104.06666666666666,68.7,80.21666666666667,89.15,74.98333333333333
Musée des beaux-arts de Montréal,30.15,17.983333333333334,96.45,45.75,97.05,N,31.966666666666665,74.98333333333333,32.9,38.016666666666666,90.18333333333334,96.11666666666666,11.483333333333333,29.316666666666666,74.93333333333334,36.0,43.56666666666667,35.31666666666667,22.233333333333334,98.23333333333333,20.166666666666668,12.05,54.45,31.416666666666668,61.516666666666666,4.016666666666667,13.116666666666667,24.616666666666667,35.81666666666667,14.316666666666666,47.03333333333333,24.533333333333335,18.983333333333334,84.63333333333334,29.616666666666667,31.25,38.016666666666666,25.583333333333332,62.4,27.316666666666666,79.8,1.3166666666666667,26.166666666666668,84.88333333333334,24.866666666666667,27.116666666666667,32.56666666666667,29.866666666666667,34.11666666666667,47.95
Pointe-a-Calliere Montreal Archaeology and History Complex,3.933333333333333,47.7,85.06666666666666,78.16666666666667,82.6,31.5,N,56.56666666666667,39.55,9.4,75.95,84.78333333333333,28.433333333333334,5.266666666666667,57.666666666666664,5.55,47.4,8.916666666666666,13.2,83.78333333333333,12.2,23.133333333333333,35.68333333333333,4.466666666666667,93.93333333333334,28.283333333333335,19.633333333333333,8.183333333333334,12.783333333333333,18.466666666666665,39.18333333333333,14.466666666666667,44.266666666666666,73.2,3.1666666666666665,23.083333333333332,9.4,9.033333333333333,47.25,5.35,74.68333333333334,30.1,27.166666666666668,66.11666666666666,41.583333333333336,21.683333333333334,32.71666666666667,4.983333333333333,8.066666666666666,49.1
Biosphere,58.766666666666666,86.48333333333333,87.36666666666666,115.66666666666667,87.96666666666667,75.16666666666667,56.55,N,68.1,51.11666666666667,81.1,87.03333333333333,69.8,58.56666666666667,4.266666666666667,59.416666666666664,73.16666666666667,52.833333333333336,57.333333333333336,89.15,62.13333333333333,65.7,23.8,58.483333333333334,129.01666666666668,71.51666666666667,66.23333333333333,59.43333333333333,50.35,63.416666666666664,65.93333333333334,53.78333333333333,82.91666666666667,75.55,56.43333333333333,45.78333333333333,51.13333333333333,62.233333333333334,16.716666666666665,59.95,70.7,73.76666666666667,60.05,21.716666666666665,76.38333333333334,53.2,51.06666666666667,57.666666666666664,51.766666666666666,72.23333333333333
Atwater Market,41.666666666666664,42.833333333333336,126.65,54.266666666666666,127.25,32.55,39.4,68.0,N,49.46666666666667,120.38333333333334,126.31666666666666,43.05,41.75,69.1,44.53333333333333,75.15,46.766666666666666,47.96666666666667,128.43333333333334,41.55,42.766666666666666,47.11666666666667,42.86666666666667,67.78333333333333,30.766666666666666,37.666666666666664,43.2,50.38333333333333,41.36666666666667,24.75,49.61666666666667,46.733333333333334,114.83333333333333,38.1,59.28333333333333,49.46666666666667,40.96666666666667,86.16666666666667,41.18333333333333,110.0,33.36666666666667,12.15,77.55,56.45,18.05,64.13333333333334,41.516666666666666,35.7,79.53333333333333
Notre-Dame-de-Bon-Secours Chapel,8.85,54.31666666666667,75.96666666666667,83.38333333333334,73.5,38.11666666666667,9.566666666666666,51.1,49.55,N,66.85,75.68333333333334,34.95,9.116666666666667,51.05,8.583333333333334,46.233333333333334,3.05,17.95,74.68333333333334,18.75,29.75,44.016666666666666,7.6,99.15,34.9,26.25,14.116666666666667,4.016666666666667,25.083333333333332,48.65,14.95,50.88333333333333,64.1,11.55,14.4,0.016666666666666666,15.183333333333334,38.13333333333333,10.733333333333333,64.91666666666667,36.71666666666667,36.7,72.8,48.4,30.733333333333334,25.983333333333334,8.183333333333334,15.816666666666666,46.483333333333334
Olympic Park (Parc olympique),74.38333333333334,96.26666666666667,16.166666666666668,122.51666666666667,7.816666666666666,90.26666666666667,76.08333333333333,81.08333333333333,120.33333333333333,66.8,N,10.1,82.51666666666667,74.3,81.03333333333333,75.1,70.31666666666666,68.45,77.41666666666667,9.0,82.05,79.48333333333333,103.6,74.21666666666667,129.25,89.76666666666667,85.03333333333333,81.75,67.01666666666667,80.4,115.16666666666667,74.8,93.08333333333333,7.716666666666667,78.11666666666666,65.7,66.81666666666666,85.15,65.35,76.61666666666666,32.61666666666667,88.91666666666667,103.21666666666667,102.78333333333333,85.78333333333333,97.25,61.833333333333336,73.4,82.33333333333333,68.11666666666666
Montréal Insectarium,83.21666666666667,100.08333333333333,7.483333333333333,124.16666666666667,8.4,96.13333333333334,84.91666666666667,86.95,126.2,75.63333333333334,10.1,N,88.38333333333334,83.13333333333334,86.9,83.93333333333334,73.66666666666667,77.28333333333333,83.28333333333333,9.216666666666667,87.91666666666667,85.35,109.46666666666667,83.05,132.6,95.63333333333334,90.9,87.61666666666666,80.45,86.26666666666667,124.0,80.66666666666667,96.9,12.483333333333333,86.95,71.56666666666666,75.65,91.01666666666667,73.15,90.03333333333333,35.96666666666667,94.78333333333333,118.35,108.65,89.6,106.08333333333333,67.7,82.23333333333333,91.16666666666667,71.46666666666667
Musee Redpath,27.066666666666666,22.116666666666667,88.9,52.95,89.5,11.55,28.966666666666665,69.45,43.266666666666666,34.93333333333333,82.63333333333334,88.56666666666666,N,26.233333333333334,69.4,32.916666666666664,34.78333333333333,32.233333333333334,18.55,90.68333333333334,16.916666666666668,7.1,57.96666666666667,28.333333333333332,68.71666666666667,12.7,10.533333333333333,21.066666666666666,32.266666666666666,11.0,50.95,20.966666666666665,18.683333333333334,77.08333333333333,26.616666666666667,26.683333333333334,34.93333333333333,21.966666666666665,58.06666666666667,24.233333333333334,72.25,10.166666666666666,36.266666666666666,88.4,20.716666666666665,33.233333333333334,24.15,26.783333333333335,31.116666666666667,39.166666666666664
